PO Number,Order Date,Requested Delivery Date,Customer Name,Vendor Name,Sold To ID,Sales Org,Order Type,SO Rule,Ship To ID,Ship To Name,Customer Number,Material Description,Quantity,Unit,Delivery Date,Internal Material Code,Customer Material Code,Extracted Material Code,Customer Group 2,SO Grouping Rule,Employee Responsible,Email Responsible,Sender Email,Source File,Run Timestamp
BE-26-00192,15-01-2026,03-02-2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,KG,10-02-2026,61571,AKULON F130-C2,Akulon F130-C2,Z01,ONE SO PER PO,,,,Bestellung BE-26-00192.pdf,29-07-2026 23:46
BE-26-00192,15-01-2026,03-02-2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,KG,12-02-2026,61571,AKULON F130-C2,Akulon F130-C2,Z01,ONE SO PER PO,,,,Bestellung BE-26-00192.pdf,29-07-2026 23:46
BE-26-00192,15-01-2026,03-02-2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,KG,17-02-2026,61571,AKULON F130-C2,Akulon F130-C2,Z01,ONE SO PER PO,,,,Bestellung BE-26-00192.pdf,29-07-2026 23:46
BE-26-00192,15-01-2026,03-02-2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,KG,19-02-2026,61571,AKULON F130-C2,Akulon F130-C2,Z01,ONE SO PER PO,,,,Bestellung BE-26-00192.pdf,29-07-2026 23:46
BE-26-00192,15-01-2026,03-02-2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,KG,24-02-2026,61571,AKULON F130-C2,Akulon F130-C2,Z01,ONE SO PER PO,,,,Bestellung BE-26-00192.pdf,29-07-2026 23:46
BE-26-00192,15-01-2026,03-02-2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,KG,26-02-2026,61571,AKULON F130-C2,Akulon F130-C2,Z01,ONE SO PER PO,,,,Bestellung BE-26-00192.pdf,29-07-2026 23:46
BE-25-02803,01-12-2025,12-12-2025,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,25000,KG,12-12-2025,61571,AKULON F130-C2,Akulon F130-C2,Z01,ONE SO PER PO,,,,MF Folien (Sold-to 4020001301 - Material 14885).pdf,29-07-2026 23:46
BE-25-02803,01-12-2025,12-12-2025,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,25000,KG,15-12-2025,61571,AKULON F130-C2,Akulon F130-C2,Z01,ONE SO PER PO,,,,MF Folien (Sold-to 4020001301 - Material 14885).pdf,29-07-2026 23:46
BE-25-02803,01-12-2025,12-12-2025,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,25000,KG,16-12-2025,61571,AKULON F130-C2,Akulon F130-C2,Z01,ONE SO PER PO,,,,MF Folien (Sold-to 4020001301 - Material 14885).pdf,29-07-2026 23:46
1014235554,11-12-2025,05-02-2026,上海莫仕连接器有限公司,Envalior B.V.,4020010375,2700,TA,X,4020034958,莫仕上海DSV仓库,4020010375,PA66 BLACK UL94V-0,2000,KG,05-02-2026,45505,899922173,899922173,-,SEPARATE SO PER ITEM,,,,Molex PO1014235554_20251211_042406.pdf,29-07-2026 23:46
1014235576,11-12-2025,15-02-2026,上海莫仕连接器有限公司,Envalior B.V.,4020010375,2700,TA,X,4020034958,莫仕上海DSV仓库,4020010375,PA66 BLACK UL94V-0,3000,KG,15-02-2026,45505,899922173,899922173,-,SEPARATE SO PER ITEM,,,,Molex PO1014235576_20251211_042446.pdf,29-07-2026 23:46
BE25-00763,13-11-2025,01-12-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,25000,KG,01-12-2025,61567,111102 SILO,11110201,Z01,ONE SO PER PO,,,,Niederwieser (Sold-to 4020000825 - Material 11284).pdf,29-07-2026 23:46
BE25-00763,13-11-2025,01-12-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,25000,KG,03-12-2025,61567,111102 SILO,11110201,Z01,ONE SO PER PO,,,,Niederwieser (Sold-to 4020000825 - Material 11284).pdf,29-07-2026 23:46
BE25-00763,13-11-2025,01-12-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,25000,KG,04-12-2025,61567,111102 SILO,11110201,Z01,ONE SO PER PO,,,,Niederwieser (Sold-to 4020000825 - Material 11284).pdf,29-07-2026 23:46
BE25-00763,13-11-2025,01-12-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,25000,KG,05-12-2025,61567,111102 SILO,11110201,Z01,ONE SO PER PO,,,,Niederwieser (Sold-to 4020000825 - Material 11284).pdf,29-07-2026 23:46
BE25-00763,13-11-2025,01-12-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,25000,KG,08-12-2025,61567,111102 SILO,11110201,Z01,ONE SO PER PO,,,,Niederwieser (Sold-to 4020000825 - Material 11284).pdf,29-07-2026 23:46
BE25-00763,13-11-2025,01-12-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,25000,KG,09-12-2025,61567,111102 SILO,11110201,Z01,ONE SO PER PO,,,,Niederwieser (Sold-to 4020000825 - Material 11284).pdf,29-07-2026 23:46
BE25-00763,13-11-2025,01-12-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,25000,KG,10-12-2025,61567,111102 SILO,11110201,Z01,ONE SO PER PO,,,,Niederwieser (Sold-to 4020000825 - Material 11284).pdf,29-07-2026 23:46
BE25-00763,13-11-2025,01-12-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,25000,KG,11-12-2025,61567,111102 SILO,11110201,Z01,ONE SO PER PO,,,,Niederwieser (Sold-to 4020000825 - Material 11284).pdf,29-07-2026 23:46
BE25-00763,13-11-2025,01-12-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,25000,KG,12-12-2025,61567,111102 SILO,11110201,Z01,ONE SO PER PO,,,,Niederwieser (Sold-to 4020000825 - Material 11284).pdf,29-07-2026 23:46
BE25-00763,13-11-2025,01-12-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,25000,KG,15-12-2025,61567,111102 SILO,11110201,Z01,ONE SO PER PO,,,,Niederwieser (Sold-to 4020000825 - Material 11284).pdf,29-07-2026 23:46
BE25-00763,13-11-2025,01-12-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,25000,KG,17-12-2025,61567,111102 SILO,11110201,Z01,ONE SO PER PO,,,,Niederwieser (Sold-to 4020000825 - Material 11284).pdf,29-07-2026 23:46
BE25-00763,13-11-2025,01-12-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,25000,KG,18-12-2025,61567,111102 SILO,11110201,Z01,ONE SO PER PO,,,,Niederwieser (Sold-to 4020000825 - Material 11284).pdf,29-07-2026 23:46
BE25-00763,13-11-2025,01-12-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,25000,KG,19-12-2025,61567,111102 SILO,11110201,Z01,ONE SO PER PO,,,,Niederwieser (Sold-to 4020000825 - Material 11284).pdf,29-07-2026 23:46
BE25-00763,13-11-2025,01-12-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,25000,KG,22-12-2025,61567,111102 SILO,11110201,Z01,ONE SO PER PO,,,,Niederwieser (Sold-to 4020000825 - Material 11284).pdf,29-07-2026 23:46
BE25-00763,13-11-2025,01-12-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,25000,KG,23-12-2025,61567,111102 SILO,11110201,Z01,ONE SO PER PO,,,,Niederwieser (Sold-to 4020000825 - Material 11284).pdf,29-07-2026 23:46
BE25-00764,13-11-2025,02-12-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,24000,KG,02-12-2025,61567,111102 SILO,11110201,Z01,ONE SO PER PO,,,,Niederwieser (Sold-to 4020000825 - Material 8677).pdf,29-07-2026 23:46
BE25-00764,13-11-2025,02-12-2025,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,24000,KG,16-12-2025,61567,111102 SILO,11110201,Z01,ONE SO PER PO,,,,Niederwieser (Sold-to 4020000825 - Material 8677).pdf,29-07-2026 23:46
4504063626,23-01-2026,02-02-2026,BANDO KAGAKU,Envalior B.V.,4020013043,2710,TA,X,4020014055,YOKOI SEISAKUSHO,4020013043,ｽﾀﾆｰﾙTS-341-N 25Kg 紙袋 (Stanyl TS-341-N 25Kg Paper Bag),600,KG,02-02-2026,27755,M460101200-R01,M460101200-R01,Z01,ONE SO PER PO,,,,4504063626.pdf,29-07-2026 23:46
4504063626,23-01-2026,02-02-2026,BANDO KAGAKU,Envalior B.V.,4020013043,2710,TA,X,4020014055,YOKOI SEISAKUSHO,4020013043,ｽﾀﾆｰﾙTS-341-N 25Kg 紙袋 (Stanyl TS-341-N 25Kg Paper Bag),500,KG,03-02-2026,27755,M460101200-R01,M460101200-R01,Z01,ONE SO PER PO,,,,4504063626.pdf,29-07-2026 23:46
1235,14-05-2024,05-09-2024,Ergotech SRL,Envalior B.V.,4020000140,2545,TA,X,4020000140,Ergotech SRL,4020000140,STANYL TW 271 B6 naturale,1000,KG,05-09-2024,44240,8PA-211,8PA-211,-,SEPARATE SO PER ITEM,,,,Sold-to 4020000140 - Material 44240.pdf,29-07-2026 23:46
1813,22-07-2024,17-09-2024,Ergotech SRL,Envalior B.V.,4020000140,2545,TA,X,4020000140,Ergotech SRL,4020000140,STANYL TW 200 F3 BK (PA46-GF15) bags - IN CONFORMITA' ALLA NORMATIVA UNI: PA66 UNI ISO 1043 01-2002,1375,KG,17-09-2024,930,8PA-159,8PA-159,-,SEPARATE SO PER ITEM,,,,Sold-to 4020000140 - Material 930.pdf,29-07-2026 23:46
2138,10-09-2024,14-10-2024,Ergotech SRL,Envalior B.V.,4020000140,2545,TA,X,4020000140,Ergotech SRL,4020000140,STANYL TW200F6 00001 10821 nat. (pa46+30 fv) - IN CONFORMITA' ALLA NORMATIVA UNI PA66 UNI ISO 1043 01-2002,2750,KG,14-10-2024,931,8PA-195,8PA-195,-,SEPARATE SO PER ITEM,,,,Sold-to 4020000140 - Material 931.pdf,29-07-2026 23:46
1316,21-05-2024,29-07-2024,Ergotech SRL,Envalior B.V.,4020000140,2545,TA,X,4020000140,Ergotech SRL,4020000140,STANYL TW 200 F6 NERO (PA46+30GF) ID 930 - IN CONFORMITA' ALLA NORMATIVA UNI: PA66 UNI ISO 1043 01-2002,2750,KG,29-07-2024,934,8PA-035,8PA-035,-,SEPARATE SO PER ITEM,,,,Sold-to 4020000140 - Material 934.pdf,29-07-2026 23:46
2354,03-10-2024,08-11-2024,Ergotech SRL,Envalior B.V.,4020000140,2545,TA,X,4020000140,Ergotech SRL,4020000140,STANYL TW 241 F10 11000 NERO (PA46+50FV) IN CONFORMITA' ALLA NORMATIVA UNI: PA66 UNI ISO 1043 01-2002,4125,KG,08-11-2024,944,8PA-113,8PA-113,-,SEPARATE SO PER ITEM,,,,Sold-to 4020000140 - Material 944.pdf,29-07-2026 23:46
1957,07-08-2024,09-10-2024,Ergotech SRL,Envalior B.V.,4020000140,2545,TA,X,4020000140,Ergotech SRL,4020000140,STANYL TW 271 F6 NAT. (PA46+30GF wear and friction) IN CONFORMITA' ALLA NORMATIVA UNI: PA66 UNI ISO 1043 01-2002,4125,KG,09-10-2024,948,8PA-032,8PA-032,-,SEPARATE SO PER ITEM,,,,Sold-to 4020000140 - Material 948.pdf,29-07-2026 23:46
2315,30-09-2024,20-11-2024,Ergotech SRL,Envalior B.V.,4020000140,2545,TA,X,4020000140,Ergotech SRL,4020000140,Stanyl TW341 11000 10823 - IN CONFORMITA' ALLA NORMATIVA UNI: PA46 UNI ISO 1043 01-2002,2750,KG,20-11-2024,961,8PA-193,8PA-193,-,SEPARATE SO PER ITEM,,,,Sold-to 4020000140 - Material 961.pdf,29-07-2026 23:46
2053,27-08-2024,25-10-2024,Ergotech SRL,Envalior B.V.,4020000140,2545,TA,X,4020000140,Ergotech SRL,4020000140,STANYL TW 371 NAT. (PA46 wear and friction) ID 966 - IN CONFORMITA' ALLA NORMATIVA UNI: PA66 UNI ISO 1043 01-2002,13750,KG,25-10-2024,966,8PA-132,8PA-132,-,SEPARATE SO PER ITEM,,,,Sold-to 4020000140 - Material 966.pdf,29-07-2026 23:46
P177081,31-10-2024,20-01-2025,Legrand Elektrik Sanayi A.S.,Envalior B.V.,4020001469,2500,TA,X,4020001469,Legrand Elektrik Sanayi A.S.,4020001469,Z060R735:PA6GF30FR K222-KGV6\KN.00.73.\80107,11000,KG,27-01-2025,60859,PA00028BA,PA00028BA,-,SEPARATE SO PER ITEM,,,,Sold-to 4020001469 - Material 32814+42143+44141.pdf,29-07-2026 23:46
P177081,31-10-2024,20-01-2025,Legrand Elektrik Sanayi A.S.,Envalior B.V.,4020001469,2500,TA,X,4020001469,Legrand Elektrik Sanayi A.S.,4020001469,Z065R735:PA6-GF25FR CO-KGV5\KN.01.74.\820,20000,KG,14-03-2025,42143,PA00136BA,PA00136BA,-,SEPARATE SO PER ITEM,,,,Sold-to 4020001469 - Material 32814+42143+44141.pdf,29-07-2026 23:46
P177081,31-10-2024,20-01-2025,Legrand Elektrik Sanayi A.S.,Envalior B.V.,4020001469,2500,TA,X,4020001469,Legrand Elektrik Sanayi A.S.,4020001469,Z050R735:PA6-MD25 ULTRAFLOW K-FKMV5/C\KN.00.73,15000,KG,20-01-2025,44141,900661200,900661200,-,SEPARATE SO PER ITEM,,,,Sold-to 4020001469 - Material 32814+42143+44141.pdf,29-07-2026 23:46
P176476,15-10-2024,02-12-2024,Legrand Elektrik Sanayi A.S.,Envalior B.V.,4020001469,2500,TA,X,4020001469,Legrand Elektrik Sanayi A.S.,4020001469,Z060R735:PA6GF30FR,11000,KG,02-12-2024,60859,PA00028BA,PA00028BA,-,SEPARATE SO PER ITEM,,,,Sold-to 4020001469 - Material 32814.pdf,29-07-2026 23:46
P176477,15-10-2024,25-11-2024,Legrand Elektrik Sanayi A.S.,Envalior B.V.,4020001469,2500,TA,X,4020001469,Legrand Elektrik Sanayi A.S.,4020001469,Z065R735:PA6-GF25FR,20000,KG,25-11-2024,42143,PA00136BA,PA00136BA,-,SEPARATE SO PER ITEM,,,,Sold-to 4020001469 - Material 42143.pdf,29-07-2026 23:46
P175040,13-09-2024,04-03-2025,Legrand Elektrik Sanayi A.S.,Envalior B.V.,4020001469,2500,TA,X,4020001469,Legrand Elektrik Sanayi A.S.,4020001469,Z050R735:PA6-MD25 ULTRAFLOW,15000,KG,04-03-2025,44141,900661200,900661200,-,SEPARATE SO PER ITEM,,,,Sold-to 4020001469 - Material 44141.pdf,29-07-2026 23:46
P172126,22-07-2024,28-10-2024,Legrand Elektrik Sanayi A.S.,Envalior B.V.,4020001469,2500,TA,X,4020001469,Legrand Elektrik Sanayi A.S.,4020001469,PA6 NATURAL (Z009),22000,KG,28-10-2024,20364,200166300,200166300,-,SEPARATE SO PER ITEM,,,,Sold-to 4020001469 - Material 5953+35359.pdf,29-07-2026 23:46
P172126,22-07-2024,28-10-2024,Legrand Elektrik Sanayi A.S.,Envalior B.V.,4020001469,2500,TA,X,4020001469,Legrand Elektrik Sanayi A.S.,4020001469,Z031 PPS((MIN/GF) 65 NATURAL,3000,KG,04-11-2024,35359,P000117AA,P000117AA,-,SEPARATE SO PER ITEM,,,,Sold-to 4020001469 - Material 5953+35359.pdf,29-07-2026 23:46
P176469,30-10-2024,03-03-2025,Legrand Elektrik Sanayi A.S.,Envalior B.V.,4020001469,2500,TA,X,4020001469,Legrand Elektrik Sanayi A.S.,4020001469,PA6 NATURAL (Z009),11000,KG,03-03-2025,20364,200166300,200166300,-,SEPARATE SO PER ITEM,,,,Sold-to 4020001469 - Material 5953.pdf,29-07-2026 23:46
1271104,22-10-2024,27-01-2025,ABB Cable Management Products Ltd,Envalior B.V.,4020028890,2500,TA,X,4020028890,ABB Cable Management Products Ltd,4020028890,NYLON COMPOUND (NATURAL) - Supplier material ref. F136-DH. 1000kg Octobin marked with your Matl ref & batch no. Max weight 1000 kg. Pallet size 1200mm x 1000mm. Maximum overall height 1150mm.,22000,KG,27-01-2025,8756,RNY01NAT,RNY01NAT,-,SEPARATE SO PER ITEM,,,,Sold-to 4020028890 - Material 8756+40696.pdf,29-07-2026 23:46
1271104,22-10-2024,27-01-2025,ABB Cable Management Products Ltd,Envalior B.V.,4020028890,2500,TA,X,4020028890,ABB Cable Management Products Ltd,4020028890,FIRE RETARDANT PA6 DSM K225-KS - Supplier material ref. K225-KS Natural (DSM). 25kg bags clearly marked with your material ref and batch number. Maximum weight of pallet 1250 kg. Pallet size 1200mm x 1000mm. Maximum overall height 1150mm.,8000,KG,24-03-2025,40696,RNY03NAT,RNY03NAT,-,SEPARATE SO PER ITEM,,,,Sold-to 4020028890 - Material 8756+40696.pdf,29-07-2026 23:46
1263152,10-09-2024,14-11-2024,ABB Cable Management Products Ltd,Envalior B.V.,4020028890,2500,TA,X,4020028890,ABB Cable Management Products Ltd,4020028890,"NYLON COMPOUND (NATURAL) - Supplier material ref. F136-DH, 1000kg Octobin marked with your Matl ref & batch no, Max weight 1000 kg, Pallet size 1200mm x 1000mm, Maximum overall height 1150mm",22000,KG,14-11-2024,8756,RNY01NAT,RNY01NAT,-,SEPARATE SO PER ITEM,,,,Sold-to 4020028890 - Material 8756+8756+8756.pdf,29-07-2026 23:46
1263152,10-09-2024,14-11-2024,ABB Cable Management Products Ltd,Envalior B.V.,4020028890,2500,TA,X,4020028890,ABB Cable Management Products Ltd,4020028890,"NYLON COMPOUND (NATURAL) - Supplier material ref. F136-DH, 1000kg Octobin marked with your Matl ref & batch no, Max weight 1000 kg, Pallet size 1200mm x 1000mm, Maximum overall height 1150mm",22000,KG,28-11-2024,8756,RNY01NAT,RNY01NAT,-,SEPARATE SO PER ITEM,,,,Sold-to 4020028890 - Material 8756+8756+8756.pdf,29-07-2026 23:46
1263152,10-09-2024,14-11-2024,ABB Cable Management Products Ltd,Envalior B.V.,4020028890,2500,TA,X,4020028890,ABB Cable Management Products Ltd,4020028890,"NYLON COMPOUND (NATURAL) - Supplier material ref. F136-DH, 1000kg Octobin marked with your Matl ref & batch no, Max weight 1000 kg, Pallet size 1200mm x 1000mm, Maximum overall height 1150mm",22000,KG,12-12-2024,8756,RNY01NAT,RNY01NAT,-,SEPARATE SO PER ITEM,,,,Sold-to 4020028890 - Material 8756+8756+8756.pdf,29-07-2026 23:46
1245919,11-06-2024,12-08-2024,ABB Cable Management Products Ltd,Envalior B.V.,4020028890,2500,TA,X,4020028890,ABB Cable Management Products Ltd,4020028890,NYLON COMPOUND (NATURAL) - Supplier material ref. F136-DH. 1000kg Octobin marked with your Matl ref & batch no. Max weight 1000 kg. Pallet size 1200mm x 1000mm. Maximum overall height 1150mm.,22000,KG,12-08-2024,8756,RNY01NAT,RNY01NAT,-,SEPARATE SO PER ITEM,,,,Sold-to 4020028890 - Material 8756.pdf,29-07-2026 23:46
60003956,03-10-2024,28-11-2024,Parker Hannifin EMEA Sàrl,Envalior B.V.,4020030130,2500,TA,X,4020031828,Parker Hannifin Manufacturing,4020030130,ARNITEL EM 630 H according to PFDE-ES31,1200,KG,28-11-2024,40670,EM630,ARNITEL EM 630 H,-,SEPARATE SO PER ITEM,,,,Sold-to 4020030130 - Material 17263.pdf,29-07-2026 23:46
66090667 OP,30-09-2024,09-01-2025,Parker Hannifin EMEA Sàrl,Envalior B.V.,4020030130,2500,TA,X,4020031828,Parker Hannifin Manufacturing,4020030130,ARNITEL EM 630 according to PFDE-ES31,1250,KG,09-01-2025,40670,EM630,ARNITEL EM 630,-,SEPARATE SO PER ITEM,,,,Sold-to 4020030130 - Material 40670.pdf,29-07-2026 23:46
66090745 OP,07-10-2024,02-12-2024,Parker Hannifin EMEA Sàrl,Envalior B.V.,4020030130,2500,TA,X,4020031828,Parker Hannifin Manufacturing,4020030130,ARNITEL PM581/X NATURAL according to PFDE-ES31,1250,KG,02-12-2024,812,AAPP0110,AAPP0110,-,SEPARATE SO PER ITEM,,,,Sold-to 4020030130 - Material 812.pdf,29-07-2026 23:46
37666,24-10-2022,25-01-2021,STEBRO PLAST AB,Envalior B.V.,4020032023,2500,TA,X,4020032023,STEBRO PLAST AB,4020032023,"Akulon K224-G6 natur (PA6), 30% GF NA99001/71104",4125,KG,25-01-2021,19277,5208 EMMEN,5208,-,SEPARATE SO PER ITEM,,,,Sold-to 4020032023 - Material 19277.pdf,29-07-2026 23:46
37668,24-10-2022,24-11-2026,STEBRO PLAST AB,Envalior B.V.,4020032023,2500,TA,X,4020032023,STEBRO PLAST AB,4020032023,"Akulon K224-TG9 natur (PA6), 45% GF NA99001/71104",4125,KG,24-11-2026,19417,5427,5427,-,SEPARATE SO PER ITEM,,,,Sold-to 4020032023 - Material 19417.pdf,29-07-2026 23:46
37667,24-10-2022,25-01-2014,STEBRO PLAST AB,Envalior B.V.,4020032023,2500,TA,X,4020032023,STEBRO PLAST AB,4020032023,Akulon K-FG0-FC Ultraflow nat (PA6),4125,KG,25-01-2014,20413,5245 OLD,NA99001/71104,-,SEPARATE SO PER ITEM,,,,Sold-to 4020032023 - Material 19497.pdf,29-07-2026 23:46
37669,24-10-2022,25-01-2028,STEBRO PLAST AB,Envalior B.V.,4020032023,2500,TA,X,4020032023,STEBRO PLAST AB,4020032023,Akulon F232-D natur (PA6),4125,KG,25-01-2028,61582,5245 NEW,5245,-,SEPARATE SO PER ITEM,,,,Sold-to 4020032023 - Material 20413.pdf,29-07-2026 23:46
37534,24-10-2007,25-01-2028,STEBRO PLAST AB,Envalior B.V.,4020032023,2500,TA,X,4020032023,STEBRO PLAST AB,4020032023,"Akulon K224-G3 natur (PA6), 15% GF",3300,KG,25-01-2028,28645,5143 EMMEN,5143,-,SEPARATE SO PER ITEM,,,,Sold-to 4020032023 - Material 28645.pdf,29-07-2026 23:46
37774,24-11-2005,25-02-2025,STEBRO PLAST AB,Envalior B.V.,4020032023,2500,TA,X,4020032023,STEBRO PLAST AB,4020032023,"Akulon K224-PG3 natur (PA6), 15% GF NA99001/71109",6600,KG,25-02-2025,29476,5343,5343,-,SEPARATE SO PER ITEM,,,,Sold-to 4020032023 - Material 29476.pdf,29-07-2026 23:46
37539,24-10-2007,25-03-2018,STEBRO PLAST AB,Envalior B.V.,4020032023,2500,TA,X,4020032023,STEBRO PLAST AB,4020032023,Akulon K-MB UF IM / D Neukleringsmedel K-MB UF IM,700,KG,25-03-2018,8947,5641,5641,-,SEPARATE SO PER ITEM,,,,Sold-to 4020032023 - Material 8947.pdf,29-07-2026 23:46
BE-25-01212,09-05-2025,,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,"F-X22092, Verpackung: Octabin",,KG,,60477,AKULON F-X22092,60477,Z01,ONE SO PER PO,,,,MFWG Bestellung BE-25-01212_body.txt,29-07-2026 23:46
4504063626,23-01-2026,02-02-2026,BANDO KAGAKU,Envalior B.V.,4020012890,,TA,O,4020012890,BANDO KAGAKU,4020012890,"スタニールTS-341-N 25Kg 紙袋 (Stanyl TS-341-N, 25Kg Paper Bag)",600,KG,02-02-2026,,,M460101200-R01,,SEPARATE SO PER ITEM,,,,4504063626_AQMkAGEz.pdf,29-07-2026 23:46
4504063626,23-01-2026,02-02-2026,BANDO KAGAKU,Envalior B.V.,4020012890,,TA,O,4020012890,BANDO KAGAKU,4020012890,"スタニールTS-341-N 25Kg 紙袋 (Stanyl TS-341-N, 25Kg Paper Bag)",500,KG,03-02-2026,,,M460101200-R01,,SEPARATE SO PER ITEM,,,,4504063626_AQMkAGEz.pdf,29-07-2026 23:46
1.2102E+11,19-09-2025,05-11-2025,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,TE248F6 MOON GRAY1 GY86003; Storage: MWK10NFT,2000,KG,19-11-2025,16552,901-11D6-002,901-11D6-002,-,SEPARATE SO PER ITEM,,,,FOXCONN (Sold-to 4020010339 - Materials 16552+47206+61262+61457)_AQMkAGEz.pdf,29-07-2026 23:46
1.2102E+11,19-09-2025,05-11-2025,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,TS200F6 B-MB GY86015 Moon Gray 1; Storage: MWK10NFT,1000,KG,19-11-2025,47206,901-59P9-002,901-59P9-002,-,SEPARATE SO PER ITEM,,,,FOXCONN (Sold-to 4020010339 - Materials 16552+47206+61262+61457)_AQMkAGEz.pdf,29-07-2026 23:46
1.2102E+11,19-09-2025,05-11-2025,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,TS200F6 B-MB NATURAL; Storage: MWK10NFT,1000,KG,05-11-2025,61262,901-84P9-002,901-84P9-002,-,SEPARATE SO PER ITEM,,,,FOXCONN (Sold-to 4020010339 - Materials 16552+47206+61262+61457)_AQMkAGEz.pdf,29-07-2026 23:46
1.2102E+11,19-09-2025,05-11-2025,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,TS200F6/A MB GY86003S MOON GRAY 1; Storage: MWK10NFT,1000,KG,05-11-2025,61457,901-40R2-002,901-40R2-002,-,SEPARATE SO PER ITEM,,,,FOXCONN (Sold-to 4020010339 - Materials 16552+47206+61262+61457)_AQMkAGEz.pdf,29-07-2026 23:46
1.2108E+11,28-10-2025,18-11-2025,上海金骏程新材料科技有限公司,Envalior B.V.,4020036720,2700,TA,O,4020036720,浙江丰源,4020036720,TE250F8 33104 WHITE; APN: M9R10NFT,2000,KG,18-11-2025,,,901-0125-002,-,SEPARATE SO PER ITEM,,,,Fuyu Electronical Technology (Sold-to 4020036720 - Material 15219)_AQMkAGEz.pdf,29-07-2026 23:46
